;;Antwortmöglichkeiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIN;PIN;Undefined;;JKB29;;mnb99;;hsb18;;BMB22;;UPB77;;UPB77;;ssb33;;JEB50;;AES10;;FAO60;;BBM03;;sba11;;CPA44;;pug95;;BTH58;;chb08;;AEB86;;MMB60;;RJB81;;ULB19;;RRW62;;EEB30;;MAB08;;mkb97;;srb48;;srb48;;SHF89;;BGM89;;BGM89;;MMH80;;MMH80;;ITS44;;ITS44;;TDB60;;AEB86;;ENH20;;BMP02;;VWB51;;uje82;;CJT23;;zks10;;zks10;;AES10;;POB20;;PDB20;;ahb55;;TDB60;;ahb55;;FPM61;;FPM6;;mjb21;;MJB21;;HDB40;;CJT23;;ISC88;;ulb02;;PJF88;;ULB19;;BBM03;;IRS87;;SHB02;;ENS12;;DLB21;;KLHT61;;ISC88;;PJF88;;FGN31;;FGN31;;pug95;;UST67;;pss99;;BTH58;;uje82;;NHB73;;AIA00;;RJB81;;JEB50;;NHB73;;VIY20;;ssb33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age;Alter;undefined;;24;;24;;25;;51;;26;;26;;30;;23;;23;;23;;30;;22;;30;;38;;26;;25;;27;;23;;22;;25;;21;;23;;25;;27;;25;;25;;24;;24;;25;;23;;23;;19;;19;;23;;27;;23;;21;;22;;31;;20;;23;;23;;23;;23;;23;;18;;23;;18;;52;;52;;23;;23;;23;;20;;55;;21;;25;;25;;30;;27;;22;;21;;22;;25;;55;;25;;29;;29;;38;;26;;24;;26;;31;;20;;24;;22;;23;;20;;23;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
german knowlege; Deutschkenntnisse;Muttersprache,C1/2 (Verhandlungssicher),B1/2 (Gespr?chssicher),keine der genannten;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;C1/2 (Verhandlungssicher);;Muttersprache;;C1/2 (Verhandlungssicher);;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;C1/2 (Verhandlungssicher);;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;Muttersprache;;Muttersprache;;Muttersprache;;C1/2 (Verhandlungssicher);;Muttersprache;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mothertongue (if not german);Wenn Deutsch nicht Ihre Muttersprache ist: Was ist Ihre Muttersprache;undefined;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;T?rkisch;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;Hindi, englisch;;Hindi, englisch;;null;;Spanisch;;Spanisch;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;Englisch;;Bulgarisch;;Bulgarisch;;null;;null;;null;;null;;null;;null;;franz?sisch;;Franz?sisch;;null;;null;;null;;Englisch;;T?rkisch;;null;;null;;null;;null;;null;;null;;Bulgarisch;;null;;null;;t?rkisch;;null;;null;;null;;null;;null;;Bulgarisch;;null;;null;;null;;griechisch;;null;;null;;null;;Bulgarisch;;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/week telephonecalls (Festnetz); Wie viele Stunden pro Woche telefonieren Sie ?bers Festnetz?;undefined;;0;;0;;1;;3;;0;;0;;0;;0;;0;;0;;5;;0;;0;;1;;0.0;;0;;0.3;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0.3;;0;;0;;0;;0;;0;;1;;1;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;5;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0.0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/week telephonecalls (Smartphone); Wie viele Stunden pro Woche telefonieren Sie mit dem Handy?;undefined;;1;;0.5;;1;;5;;3;;2;;6;;2;;3;;0.5;;1;;2;;0.5;;5;;01. Mai;;0.3;;1;;1;;1;;0.5;;2;;0;;0;;0.1;;1;;0;;1;;1;;1;;4;;4;;1;;1;;1;;1;;4;;1;;5;;01. Mai;;2;;2;;10;;3;;2;;2;;1;;1;;1;;0;;0;;0;;0;;0;;5;;0;;3;;0;;1;;1;;1;;5;;1;;1;;2;;2;;1;;1;;1;;10;;0.1;;2;;01. Mai;;01. Mai;;7;;5;;2;;2;;7;;3;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/week calls via Internet (Discord, Whatsapp…); Wie viele Stunden pro Woche telefonieren Über das Internet (z.B. Über Discord, Messenger-Apps wie Whatsapp)?;undefined;;1;;0.5;;3;;1;;1;;1;;6;;0.5;;2;;1;;2;;2;;0.5;;0;;0.5;;2;;0.5;;1;;2;;0;;7;;1;;2;;1;;4;;2;;1;;2;;1;;3;;2;;1;;1;;1;;0.5;;3;;0.5;;15;;0.3;;8;;10;;25;;3;;1;;1;;1;;1;;1;;2;;6;;3;;4;;7;;5;;2;;7;;0;;0.5;;1;;0.5;;10;;15;;10;;6;;1;;0;;0;;0;;0;;02. Mai;;1;;0.5;;0.3;;3;;10;;2;;0.5;;3;;5;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/week videocalls; Wie viele Stunden pro Woche nutzen Sie Videoanrufe?;undefined;;0;;0;;2;;1;;0;;0;;1;;0;;2;;0.5;;0;;0.5;;0;;1;;0.5;;2;;0;;1;;2;;1;;3;;1;;2;;0;;3;;3;;1;;1;;2;;2;;1;;1;;1;;0;;0;;1;;3;;5;;0.3;;2;;8;;13;;2;;0;;0;;1;;0;;1;;0;;0;;0;;1;;4;;2;;0;;1;;20;;2;;0;;0.5;;3;;5;;1;;1;;0;;25;;1;;1;;0;;2;;0;;0.5;;0.3;;2;;6;;2;;0;;2;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
what is your experience with the technique mentioned;Wie sind Ihre bisherigen Erfahrungen mit den o.g. Telekommunikationsmitteln?;undefined;;59;;50;;60;;56;;50;;50;;39;;46;;36;;58;;51;;54;;50;;54;;40;;48;;40;;48;;50;;46;;44;;60;;54;;44;;46;;33;;60;;40;;40;;50;;60;;48;;44;;55;;40;;32;;50;;68;;53;;50;;65;;62;;28;;50;;50;;50;;50;;47;;60;;60;;58;;60;;50;;50;;56;;70;;38;;50;;54;;47;;50;;38;;50;;40;;60;;42;;46;;50;;64;;40;;45;;40;;48;;52;;48;;50;;46;;50;;52;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
